time_index,load_mw,voltage_kv,frequency_hz,solar_mw,wind_mw,hydro_mw,thermal_mw,reactive_power_mvar,power_factor,demand_forecast_mw,import_mw,export_mw,line_temp_c,transformer_load_pct,substation_pressure_kpa,frequency_setpoint_hz,frequency_error_mhz,var_comp_alert,humidity_pct,ambient_temp_c,wind_speed_ms,irradiance_wm2,barometric_kpa,rainfall_mm,pmu_angle_deg,pmu_magnitude,battery_soc_pct,ev_charging_kw,grid_loss_pct,cyber_signal_offset
0,0.64442366,0.5228342,0.7090685,0.694717,0.8265194,0.7931869,0.78763247,0.69900626,0.69140434,0.66146445,0.48093474,0.7719288,0.6773491,0.69392174,0.8087801,0.79724514,0.78757423,0.85609376,0.69708836,0.6904405,0.812342,0.70111966,0.7981884,0.70907795,0.80192196,0.78559613,0.72361135,0.66236883,0.7897588,0.7356136
1,0.44359004,0.47531807,0.70440197,0.4138738,0.81953657,0.7925358,0.78911203,0.51743907,0.5076047,0.40337697,0.4423471,0.68741417,0.4387781,0.480712,0.8094409,0.7969733,0.78740054,0.8550599,0.5400365,0.4133583,0.7881704,0.41315195,0.7960709,0.7100066,0.80082726,0.7858427,0.53704906,0.4414712,0.7898216,0.73087794
2,0.34019086,0.4519258,0.6986759,0.23504972,0.7927103,0.7920622,0.7901555,0.42968693,0.42701083,0.28519845,0.42783403,0.6293171,0.3149169,0.38282883,0.80992645,0.7957774,0.78706306,0.85451937,0.47101846,0.22788797,0.7358019,0.221357,0.7961167,0.70873195,0.8002806,0.78452075,0.4005999,0.35865974,0.78964764,0.72074443
3,0.3408142,0.4349378,0.68971723,0.18679433,0.73660326,0.79142666,0.7904199,0.4284029,0.42685065,0.2875093,0.4183577,0.6011351,0.31932065,0.38382366,0.81040525,0.79290354,0.78486735,0.8550323,0.46638638,0.210993,0.6617832,0.15103073,0.7966086,0.7065375,0.7981542,0.7855906,0.35326475,0.3641871,0.78995305,0.70838183
4,0.34824216,0.41582823,0.6850788,0.18476826,0.66653025,0.7911834,0.7901393,0.4368156,0.43495134,0.29346493,0.40331778,0.58686876,0.33131513,0.3924686,0.8092774,0.79007494,0.78504676,0.85526097,0.47112703,0.22768313,0.5959911,0.115107626,0.79677,0.7047165,0.79634005,0.7857506,0.35026708,0.3678052,0.78904206,0.69760233
5,0.34447384,0.39657217,0.681353,0.17788763,0.60428655,0.790491,0.7898834,0.4347895,0.432801,0.2887066,0.39009437,0.57640237,0.32726726,0.3896446,0.8078477,0.788249,0.784324,0.8551056,0.4704523,0.22442175,0.5613381,0.09167983,0.7952114,0.70580775,0.7943858,0.78578895,0.3516731,0.36130974,0.78896236,0.69119805
6,0.3391811,0.38723212,0.6800335,0.1711782,0.5670094,0.79089165,0.78966147,0.42952,0.4280388,0.2837784,0.37727538,0.57123154,0.3195328,0.38352606,0.8076569,0.7884565,0.7849334,0.8529098,0.46694708,0.2151727,0.54844636,0.07165775,0.7941992,0.7038886,0.7931963,0.78470117,0.34954137,0.35500413,0.7895055,0.6869512
7,0.33572516,0.385852,0.6782487,0.16620697,0.5475067,0.7907775,0.79014516,0.42445678,0.4238625,0.28145456,0.36989066,0.56854194,0.31452504,0.3798681,0.8085448,0.7886781,0.7838072,0.851686,0.46374446,0.20871606,0.5457054,0.061230026,0.7937009,0.70242155,0.7920637,0.7857657,0.34690112,0.35012925,0.7890841,0.6836759
8,0.33342877,0.38600528,0.6766376,0.16188566,0.5387849,0.7908224,0.79007924,0.42199048,0.42230394,0.28030494,0.36828488,0.5670601,0.3119455,0.37753254,0.80827373,0.7883208,0.7840895,0.85064626,0.46141708,0.20558368,0.5466624,0.05630832,0.79298896,0.7017283,0.79074335,0.7853707,0.34487048,0.3478646,0.7885104,0.6820521
9,0.33297756,0.38544908,0.67470664,0.15796866,0.5358925,0.7911068,0.79008234,0.421339,0.42207763,0.2801276,0.3694156,0.566398,0.31086776,0.37612936,0.80729115,0.78845143,0.78370553,0.85085285,0.45985234,0.2035273,0.54821837,0.05198767,0.79220784,0.7033011,0.78973997,0.7861884,0.34405133,0.34630504,0.7882825,0.6814187
10,0.3330997,0.3840802,0.6737051,0.15473862,0.53419983,0.79097515,0.79015803,0.420519,0.42121735,0.2793488,0.37196246,0.5659934,0.3098623,0.375714,0.80661684,0.78934056,0.78385985,0.85100627,0.4591343,0.20235695,0.548923,0.04782903,0.79132086,0.7033789,0.7895115,0.78712696,0.3440969,0.34600553,0.78812516,0.6802151
11,0.3337078,0.38255164,0.67294735,0.15207092,0.53265303,0.7914251,0.78902686,0.42042762,0.42100352,0.2788631,0.3749272,0.56651247,0.3094264,0.37552366,0.8065464,0.7889583,0.7836175,0.85094535,0.45777702,0.20193557,0.54822785,0.045942817,0.7905774,0.704083,0.78935194,0.78683907,0.34389675,0.3454495,0.78930837,0.6797093
12,0.33493897,0.3809833,0.67255324,0.15002064,0.5316571,0.79008746,0.7884584,0.42101237,0.42150262,0.2793024,0.37765136,0.5669937,0.30981308,0.37602964,0.80781823,0.78865945,0.78312975,0.85085934,0.457425,0.2017343,0.5473804,0.046398416,0.7898268,0.70465815,0.79003143,0.7854869,0.34378543,0.34550294,0.78862125,0.67939985
