dim1,dim2,timestamp
9.4189,-3.2274845,2024-01-01 00:00:00
9.288653,-5.136237,2024-01-01 00:15:00
8.8101425,-1.9591851,2024-01-01 00:30:00
9.109089,-3.2182062,2024-01-01 00:45:00
9.187502,-3.8775148,2024-01-01 01:00:00
8.668596,-2.8636298,2024-01-01 01:15:00
9.138845,-3.202886,2024-01-01 01:30:00
9.47392,-2.9453773,2024-01-01 01:45:00
9.495251,-2.7699292,2024-01-01 02:00:00
9.096848,-2.952399,2024-01-01 02:15:00
9.073667,-2.3871188,2024-01-01 02:30:00
9.070031,-1.7446399,2024-01-01 02:45:00
8.879831,-1.8483772,2024-01-01 03:00:00
8.888505,-1.1510688,2024-01-01 03:15:00
8.965052,-1.4585507,2024-01-01 03:30:00
8.821404,-1.8131094,2024-01-01 03:45:00
8.113346,1.155261,2024-01-01 04:00:00
8.57634,-1.3384875,2024-01-01 04:15:00
8.678856,-0.3345501,2024-01-01 04:30:00
8.426663,-0.17074572,2024-01-01 04:45:00
8.292427,-0.43936983,2024-01-01 05:00:00
8.558745,-0.1665613,2024-01-01 05:15:00
8.092958,1.2560893,2024-01-01 05:30:00
7.5052695,0.36975458,2024-01-01 05:45:00
7.857882,0.55614173,2024-01-01 06:00:00
7.638788,0.17990728,2024-01-01 06:15:00
8.000575,1.137671,2024-01-01 06:30:00
7.59243,0.31883004,2024-01-01 06:45:00
7.1763053,0.4758125,2024-01-01 07:00:00
6.917001,0.75939494,2024-01-01 07:15:00
6.6799016,1.5381205,2024-01-01 07:30:00
6.5844135,0.91030836,2024-01-01 07:45:00
6.0559764,1.0417894,2024-01-01 08:00:00
5.695582,0.13403024,2024-01-01 08:15:00
4.9853263,0.8823756,2024-01-01 08:30:00
6.3293357,0.6729911,2024-01-01 08:45:00
5.2470455,1.4340957,2024-01-01 09:00:00
5.471732,0.6724075,2024-01-01 09:15:00
5.0054884,0.8965829,2024-01-01 09:30:00
6.2196183,1.7341216,2024-01-01 09:45:00
4.7528024,1.0181112,2024-01-01 10:00:00
4.797842,1.2595216,2024-01-01 10:15:00
4.9446964,1.4542351,2024-01-01 10:30:00
6.115851,1.7177863,2024-01-01 10:45:00
5.220837,0.70087355,2024-01-01 11:00:00
4.4983783,0.9759372,2024-01-01 11:15:00
4.632945,0.8322837,2024-01-01 11:30:00
5.0374703,1.3064907,2024-01-01 11:45:00
5.8029466,-0.20519015,2024-01-01 12:00:00
4.8138657,0.4058663,2024-01-01 12:15:00
4.497903,-0.6531948,2024-01-01 12:30:00
4.427751,-0.74633515,2024-01-01 12:45:00
4.581228,-1.551723,2024-01-01 13:00:00
4.5490346,-1.2663982,2024-01-01 13:15:00
5.003483,-0.9157459,2024-01-01 13:30:00
5.4592757,-1.5395821,2024-01-01 13:45:00
4.6400576,-0.903526,2024-01-01 14:00:00
4.5046926,-0.9446578,2024-01-01 14:15:00
4.864068,-1.7833835,2024-01-01 14:30:00
4.6690965,-0.44806468,2024-01-01 14:45:00
5.5512667,-2.8298957,2024-01-01 15:00:00
5.3352375,-1.5122432,2024-01-01 15:15:00
6.1954465,-3.9226441,2024-01-01 15:30:00
5.715788,-1.8340391,2024-01-01 15:45:00
5.872161,-2.434973,2024-01-01 16:00:00
5.7682343,-2.7105792,2024-01-01 16:15:00
6.498098,-4.079064,2024-01-01 16:30:00
6.5197563,-3.628436,2024-01-01 16:45:00
5.9337025,-3.2826908,2024-01-01 17:00:00
6.5010366,-4.1212497,2024-01-01 17:15:00
7.0209813,-3.8107886,2024-01-01 17:30:00
8.30792,-3.8565032,2024-01-01 17:45:00
7.4003425,-4.5161004,2024-01-01 18:00:00
7.626953,-4.212669,2024-01-01 18:15:00
7.0950665,-4.3298445,2024-01-01 18:30:00
8.5199,-4.163893,2024-01-01 18:45:00
7.852888,-4.816893,2024-01-01 19:00:00
8.109064,-3.811392,2024-01-01 19:15:00
8.560564,-4.527672,2024-01-01 19:30:00
8.806721,-4.509037,2024-01-01 19:45:00
8.201836,-4.4851694,2024-01-01 20:00:00
8.403386,-4.8385887,2024-01-01 20:15:00
8.968564,-4.9142485,2024-01-01 20:30:00
8.754816,-4.5756454,2024-01-01 20:45:00
9.208751,-5.2933583,2024-01-01 21:00:00
8.663151,-5.564568,2024-01-01 21:15:00
8.800992,-5.518287,2024-01-01 21:30:00
8.885214,-4.2500286,2024-01-01 21:45:00
8.476428,-5.2251773,2024-01-01 22:00:00
9.300199,-5.42287,2024-01-01 22:15:00
8.11347,-5.6393633,2024-01-01 22:30:00
8.342005,-3.6958299,2024-01-01 22:45:00
8.944904,-5.2956185,2024-01-01 23:00:00
9.271509,-5.4183064,2024-01-01 23:15:00
9.27864,-5.6758485,2024-01-01 23:30:00
8.37092,-4.6794944,2024-01-01 23:45:00
8.821795,-4.865868,2024-01-02 00:00:00
8.75693,-3.0625634,2024-01-02 00:15:00
8.931943,-2.472101,2024-01-02 00:30:00
8.822816,-2.3679922,2024-01-02 00:45:00
9.380911,-2.9906235,2024-01-02 01:00:00
9.137909,-2.6012745,2024-01-02 01:15:00
9.212146,-2.902464,2024-01-02 01:30:00
9.003464,-2.2065215,2024-01-02 01:45:00
9.138235,-2.8478808,2024-01-02 02:00:00
8.451186,-2.7356405,2024-01-02 02:15:00
9.451911,-2.5766063,2024-01-02 02:30:00
9.6084585,-2.2175944,2024-01-02 02:45:00
8.944541,-1.7309785,2024-01-02 03:00:00
9.397503,-2.3059847,2024-01-02 03:15:00
9.201241,-1.5460591,2024-01-02 03:30:00
8.615974,-0.42457294,2024-01-02 03:45:00
8.635566,-1.1730596,2024-01-02 04:00:00
8.694867,-0.69429994,2024-01-02 04:15:00
8.841255,-0.6549097,2024-01-02 04:30:00
8.300068,1.0915157,2024-01-02 04:45:00
8.132424,0.48111096,2024-01-02 05:00:00
7.5647607,1.2642851,2024-01-02 05:15:00
7.4949965,0.31815577,2024-01-02 05:30:00
8.259287,-0.23052691,2024-01-02 05:45:00
8.079412,0.41688696,2024-01-02 06:00:00
7.942682,0.16936882,2024-01-02 06:15:00
7.3591313,0.38347083,2024-01-02 06:30:00
7.7610197,1.2427502,2024-01-02 06:45:00
7.7617216,1.1126108,2024-01-02 07:00:00
8.056541,1.285065,2024-01-02 07:15:00
6.808683,1.473176,2024-01-02 07:30:00
6.8484464,0.6035231,2024-01-02 07:45:00
5.9870825,0.35478303,2024-01-02 08:00:00
5.652569,0.9638965,2024-01-02 08:15:00
5.3792257,0.876538,2024-01-02 08:30:00
5.095924,0.5513428,2024-01-02 08:45:00
5.7889805,-0.15548702,2024-01-02 09:00:00
5.3282337,0.9793198,2024-01-02 09:15:00
5.1532216,0.40418413,2024-01-02 09:30:00
4.369513,1.0145307,2024-01-02 09:45:00
6.065764,1.6775799,2024-01-02 10:00:00
5.105189,1.523816,2024-01-02 10:15:00
4.426826,1.0359561,2024-01-02 10:30:00
5.283464,1.547358,2024-01-02 10:45:00
4.3912244,1.0513165,2024-01-02 11:00:00
4.717565,-0.95840657,2024-01-02 11:15:00
4.919522,0.090893745,2024-01-02 11:30:00
5.233825,1.3713169,2024-01-02 11:45:00
5.7042027,-0.38620225,2024-01-02 12:00:00
5.540965,-0.8495901,2024-01-02 12:15:00
4.83341,-0.38624763,2024-01-02 12:30:00
4.782566,-1.0661938,2024-01-02 12:45:00
4.441809,-0.7331844,2024-01-02 13:00:00
4.48997,-0.42617387,2024-01-02 13:15:00
4.659819,-1.1428326,2024-01-02 13:30:00
4.6863713,-1.5697614,2024-01-02 13:45:00
5.300524,-1.5513039,2024-01-02 14:00:00
4.4209256,-1.3763666,2024-01-02 14:15:00
4.686537,-1.3826243,2024-01-02 14:30:00
5.0115705,-1.3598754,2024-01-02 14:45:00
5.408869,-1.7481408,2024-01-02 15:00:00
5.059099,-2.039841,2024-01-02 15:15:00
4.986284,-2.1086986,2024-01-02 15:30:00
5.9642196,-2.937991,2024-01-02 15:45:00
6.560015,-4.1224427,2024-01-02 16:00:00
6.205737,-3.0912702,2024-01-02 16:15:00
5.9309626,-1.1261145,2024-01-02 16:30:00
5.6791396,-2.9936712,2024-01-02 16:45:00
5.816987,-2.7013943,2024-01-02 17:00:00
7.0485973,-4.3907413,2024-01-02 17:15:00
7.1535935,-3.5003798,2024-01-02 17:30:00
8.2702265,-2.3910139,2024-01-02 17:45:00
7.9888587,-3.7033584,2024-01-02 18:00:00
7.404836,-3.9495213,2024-01-02 18:15:00
7.947622,-4.312413,2024-01-02 18:30:00
9.240901,-3.9824193,2024-01-02 18:45:00
7.8925242,-5.316694,2024-01-02 19:00:00
8.634646,-4.3243985,2024-01-02 19:15:00
8.633353,-4.710978,2024-01-02 19:30:00
8.314485,-4.1054664,2024-01-02 19:45:00
8.836814,-4.575457,2024-01-02 20:00:00
8.330311,-4.58712,2024-01-02 20:15:00
8.573417,-6.035525,2024-01-02 20:30:00
8.429505,-5.9780707,2024-01-02 20:45:00
8.738904,-6.199689,2024-01-02 21:00:00
8.867188,-6.1048694,2024-01-02 21:15:00
8.356065,-5.9826517,2024-01-02 21:30:00
8.995968,-6.276772,2024-01-02 21:45:00
